"Sex","year","age","px"
"Male",1955,5,0.9980201
"Male",1955,6,0.99848509
"Male",1955,7,0.99877561
"Male",1955,8,0.99895142
"Male",1955,9,0.99904821
"Male",1955,10,0.9990889
"Male",1955,11,0.99908646
"Male",1955,12,0.99904865
"Male",1955,13,0.99898023
"Male",1955,14,0.99888508
"Male",1955,15,0.99876785
"Male",1955,16,0.99863448
"Male",1955,17,0.99849336
"Male",1955,18,0.99835221
"Male",1955,19,0.99821864
"Male",1955,20,0.99809636
"Male",1955,21,0.9979861
"Male",1955,22,0.99788674
"Male",1955,23,0.99779581
"Male",1955,24,0.99771136
"Male",1955,25,0.99763174
"Male",1955,26,0.99755515
"Male",1955,27,0.99747951
"Male",1955,28,0.99740095
"Male",1955,29,0.99731395
"Male",1955,30,0.99721136
"Male",1955,31,0.9970842
"Male",1955,32,0.99692403
"Male",1955,33,0.99672269
"Male",1955,34,0.99647373
"Male",1955,35,0.9961732
"Male",1955,36,0.99581912
"Male",1955,37,0.99541296
"Male",1955,38,0.99495881
"Male",1955,39,0.99446432
"Male",1955,40,0.99393964
"Male",1955,41,0.9933964
"Male",1955,42,0.99284181
"Male",1955,43,0.99227091
"Male",1955,44,0.99166489
"Male",1955,45,0.99098003
"Male",1955,46,0.99016264
"Male",1955,47,0.98915363
"Male",1955,48,0.98789886
"Male",1955,49,0.98638469
"Male",1955,50,0.98462677
"Male",1955,51,0.98270368
"Male",1955,52,0.98071845
"Male",1955,53,0.9787234
"Male",1955,54,0.97671964
"Male",1955,55,0.97455035
"Male",1955,56,0.9719842
"Male",1955,57,0.96877218
"Male",1955,58,0.96465796
"Male",1955,59,0.95961541
"Male",1955,60,0.95379651
"Male",1955,61,0.94769816
"Male",1955,62,0.9420736
"Male",1955,63,0.93748828
"Male",1955,64,0.93431178
"Male",1955,65,0.93233098
"Male",1955,66,0.93103047
"Male",1955,67,0.92981767
"Male",1955,68,0.92808739
"Male",1955,69,0.9254211
"Male",1955,70,0.92145913
"Male",1955,71,0.91597038
"Male",1955,72,0.90877602
"Male",1955,73,0.89985542
"Male",1955,74,0.88935288
"Male",1955,75,0.87767049
"Male",1955,76,0.86549612
"Male",1955,77,0.85346348
"Male",1955,78,0.84211266
"Male",1955,79,0.83156297
"Male",1955,80,0.821499
"Male",1955,81,0.81143402
"Male",1955,82,0.80074322
"Male",1955,83,0.78905887
"Male",1955,84,0.77632153
"Male",1955,85,0.76270053
"Male",1955,86,0.74863453
"Male",1955,87,0.73449193
"Male",1955,88,0.72049672
"Male",1955,89,0.70670051
"Male",1955,90,0.69290889
"Male",1955,91,0.6789326
"Male",1955,92,0.66463909
"Male",1955,93,0.65004627
"Male",1955,94,0.63543327
"Male",1955,95,0.62127096
"Male",1955,96,0.60723451
"Male",1955,97,0.59341243
"Male",1955,98,0.57985008
"Male",1955,99,0.56658922
"Male",1955,100,0
"Male",1956,0,0.94361286
"Male",1956,1,0.99325095
"Male",1956,2,0.99515329
"Male",1956,3,0.99649209
"Male",1956,4,0.99741806
"Male",1956,5,0.99804843
"Male",1956,6,0.99846967
"Male",1956,7,0.99874445
"Male",1956,8,0.99891825
"Male",1956,9,0.9990199
"Male",1956,10,0.99906879
"Male",1956,11,0.99907617
"Male",1956,12,0.99904942
"Male",1956,13,0.99899323
"Male",1956,14,0.99891248
"Male",1956,15,0.99881316
"Male",1956,16,0.99870357
"Male",1956,17,0.99859433
"Male",1956,18,0.99849423
"Male",1956,19,0.9984108
"Male",1956,20,0.99834512
"Male",1956,21,0.99829492
"Male",1956,22,0.99825497
"Male",1956,23,0.99821885
"Male",1956,24,0.99818079
"Male",1956,25,0.99813522
"Male",1956,26,0.99807729
"Male",1956,27,0.99800215
"Male",1956,28,0.99790515
