Location,Sex,year,age,px,fx
Colombia,Female,1953,91,0.72159229,0
Colombia,Female,1953,92,0.70505694,0
Colombia,Female,1953,93,0.68796229,0
Colombia,Female,1953,94,0.67015184,0
Colombia,Female,1953,95,0.65513914,0
Colombia,Female,1953,96,0.63917507,0
Colombia,Female,1953,97,0.62352165,0
Colombia,Female,1953,98,0.60814689,0
Colombia,Female,1953,99,0.59299451,0
Colombia,Female,1953,100,0,0
Colombia,Female,1954,0,0.89236234,0
Colombia,Female,1954,1,0.97399919,0
Colombia,Female,1954,2,0.9825186,0
Colombia,Female,1954,3,0.98804028,0
Colombia,Female,1954,4,0.99161603,0
Colombia,Female,1954,5,0.99403532000000006,0
Colombia,Female,1954,6,0.99561155,0
Colombia,Female,1954,7,0.99655114,0
Colombia,Female,1954,8,0.99706048,0
Colombia,Female,1954,9,0.99733286,0
Colombia,Female,1954,10,0.99755799,0
Colombia,Female,1954,11,0.99765604,0
Colombia,Female,1954,12,0.9976457,0
Colombia,Female,1954,13,0.99755345,0
Colombia,Female,1954,14,0.99740771,0
Colombia,Female,1954,15,0.997223,0.036276
Colombia,Female,1954,16,0.99701618,0.068121
Colombia,Female,1954,17,0.9968073,0.110483
Colombia,Female,1954,18,0.99660915,0.16098099999999999
Colombia,Female,1954,19,0.99643349,0.210023
Colombia,Female,1954,20,0.99628385,0.25453
Colombia,Female,1954,21,0.99615829,0.290633
Colombia,Female,1954,22,0.99605052,0.31719400000000003
Colombia,Female,1954,23,0.99594984,0.33316500000000004
Colombia,Female,1954,24,0.99584763,0.338661
Colombia,Female,1954,25,0.99573905,0.335416
Colombia,Female,1954,26,0.99562215,0.32473
Colombia,Female,1954,27,0.99549617,0.31241399999999997
Colombia,Female,1954,28,0.99536058,0.299814
Colombia,Female,1954,29,0.99521468,0.287207
Colombia,Female,1954,30,0.99506035,0.274353
Colombia,Female,1954,31,0.99490009,0.264091
Colombia,Female,1954,32,0.99473499,0.256123
Colombia,Female,1954,33,0.99456464,0.250589
Colombia,Female,1954,34,0.99438566,0.246361
Colombia,Female,1954,35,0.99419352,0.239808
Colombia,Female,1954,36,0.99398312,0.22700299999999998
Colombia,Female,1954,37,0.99374942,0.210737
Colombia,Female,1954,38,0.99348968,0.191199
Colombia,Female,1954,39,0.99320643,0.167953
Colombia,Female,1954,40,0.99291219,0.139623
Colombia,Female,1954,41,0.99262309,0.11345699999999999
Colombia,Female,1954,42,0.99234873,0.08826099999999999
Colombia,Female,1954,43,0.99208969,0.066056
Colombia,Female,1954,44,0.99183094,0.04746
Colombia,Female,1954,45,0.99154984,0.034099
Colombia,Female,1954,46,0.99122017,0.023699
Colombia,Female,1954,47,0.99081283,0.016349
Colombia,Female,1954,48,0.99031406,0.011354
Colombia,Female,1954,49,0.9897203,0.006902999999999999
Colombia,Female,1954,50,0.98904633,0
Colombia,Female,1954,51,0.98832608,0
Colombia,Female,1954,52,0.98758653,0
Colombia,Female,1954,53,0.98684719,0
Colombia,Female,1954,54,0.98609569,0
Colombia,Female,1954,55,0.98528402,0
Colombia,Female,1954,56,0.98434792,0
Colombia,Female,1954,57,0.98320575,0
Colombia,Female,1954,58,0.9817942,0
Colombia,Female,1954,59,0.98008095,0
Colombia,Female,1954,60,0.97807859,0
Colombia,Female,1954,61,0.97585741,0
Colombia,Female,1954,62,0.97349257,0
Colombia,Female,1954,63,0.97104521,0
Colombia,Female,1954,64,0.96852279,0
Colombia,Female,1954,65,0.96585189,0
Colombia,Female,1954,66,0.96291479,0
Colombia,Female,1954,67,0.95954254,0
Colombia,Female,1954,68,0.95555421,0
Colombia,Female,1954,69,0.95086237,0
Colombia,Female,1954,70,0.9454952,0
Colombia,Female,1954,71,0.93960086,0
Colombia,Female,1954,72,0.93335981,0
Colombia,Female,1954,73,0.92689638,0
Colombia,Female,1954,74,0.92024883,0
Colombia,Female,1954,75,0.91337031,0
Colombia,Female,1954,76,0.90615863,0
Colombia,Female,1954,77,0.89844076,0
Colombia,Female,1954,78,0.89000025,0
Colombia,Female,1954,79,0.88071492,0
Colombia,Female,1954,80,0.87056512,0
Colombia,Female,1954,81,0.85961421,0
Colombia,Female,1954,82,0.84796092,0
Colombia,Female,1954,83,0.83569637,0
Colombia,Female,1954,84,0.82290631,0
Colombia,Female,1954,85,0.80972062,0
Colombia,Female,1954,86,0.79626022,0
Colombia,Female,1954,87,0.7825817,0
Colombia,Female,1954,88,0.76845115,0
Colombia,Female,1954,89,0.75366584,0
Colombia,Female,1954,90,0.7382712,0
Colombia,Female,1954,91,0.72225646,0
Colombia,Female,1954,92,0.70562831,0
Colombia,Female,1954,93,0.68832174,0
Colombia,Female,1954,94,0.6702623,0
Colombia,Female,1954,95,0.65469336,0
Colombia,Female,1954,96,0.63830633,0
Colombia,Female,1954,97,0.62212985,0
Colombia,Female,1954,98,0.60619905,0
Colombia,Female,1954,99,0.59053136,0
Colombia,Female,1954,100,0,0
Colombia,Female,1955,0,0.89521716,0
Colombia,Female,1955,1,0.97526751,0
Colombia,Female,1955,2,0.98337537,0
Colombia,Female,1955,3,0.98862927,0
Colombia,Female,1955,4,0.99203126,0
Colombia,Female,1955,5,0.9943327,0
Colombia,Female,1955,6,0.99583172,0
Colombia,Female,1955,7,0.99672471,0
Colombia,Female,1955,8,0.99720833,0
Colombia,Female,1955,9,0.99746679,0
Colombia,Female,1955,10,0.99768045,0
Colombia,Female,1955,11,0.99777253,0
Colombia,Female,1955,12,0.99776059,0
Colombia,Female,1955,13,0.99766999,0
Colombia,Female,1955,14,0.99752817,0
Colombia,Female,1955,15,0.99734907,0.036588999999999997
Colombia,Female,1955,16,0.997149,0.068696
Colombia,Female,1955,17,0.99694737,0.11136
Colombia,Female,1955,18,0.99675648,0.162178
Colombia,Female,1955,19,0.99658756,0.211494
Colombia,Female,1955,20,0.99644382,0.256219
Colombia,Female,1955,21,0.99632313,0.292502
Colombia,Female,1955,22,0.99621923,0.31921
Colombia,Female,1955,23,0.99612155,0.335277
Colombia,Female,1955,24,0.99602175,0.34082
Colombia,Female,1955,25,0.9959153,0.337569
Colombia,Female,1955,26,0.99580056,0.326827
Colombia,Female,1955,27,0.99567706,0.31443400000000005
Colombia,Female,1955,28,0.99554425,0.301742
Colombia,Female,1955,29,0.99540133,0.289038
Colombia,Female,1955,30,0.99524992,0.276083
Colombia,Female,1955,31,0.99509219,0.26574200000000003
Colombia,Female,1955,32,0.99492902,0.257716
Colombia,Female,1955,33,0.99475976,0.25213800000000003
Colombia,Female,1955,34,0.99458116,0.24787399999999998
Colombia,Female,1955,35,0.99438911,0.241277
Colombia,Female,1955,36,0.99417899,0.228404
Colombia,Female,1955,37,0.99394623,0.212053
Colombia,Female,1955,38,0.99368816,0.19241
Colombia,Female,1955,39,0.99340704,0.169039
Colombia,Female,1955,40,0.99311458,0.14056100000000002
Colombia,Female,1955,41,0.99282588,0.114235
Colombia,Female,1955,42,0.99254995,0.088874
Colombia,Female,1955,43,0.99228721,0.066515
Colombia,Female,1955,44,0.99202344,0.047781
Colombia,Female,1955,45,0.99173727,0.034304
Colombia,Female,1955,46,0.99140384,0.023828
Colombia,Female,1955,47,0.99099547,0.016427
Colombia,Female,1955,48,0.99049891,0.0114
Colombia,Female,1955,49,0.98991062,0.006927
Colombia,Female,1955,50,0.98924466,0
Colombia,Female,1955,51,0.98853339,0
Colombia,Female,1955,52,0.9878025,0
Colombia,Female,1955,53,0.98707041,0
Colombia,Female,1955,54,0.98632482,0
Colombia,Female,1955,55,0.98551913,0
Colombia,Female,1955,56,0.98459086,0
Colombia,Female,1955,57,0.98346065,0
Colombia,Female,1955,58,0.98206665,0
Colombia,Female,1955,59,0.98037686,0
Colombia,Female,1955,60,0.97840264,0
Colombia,Female,1955,61,0.97621111,0
Colombia,Female,1955,62,0.97387405,0
Colombia,Female,1955,63,0.97144972,0
Colombia,Female,1955,64,0.96894472,0
Colombia,Female,1955,65,0.96628764,0
Colombia,Female,1955,66,0.96336386,0
Colombia,Female,1955,67,0.96000867,0
Colombia,Female,1955,68,0.95604554,0
Colombia,Female,1955,69,0.95138749,0
Colombia,Female,1955,70,0.94605868,0
Colombia,Female,1955,71,0.94019971,0
Colombia,Female,1955,72,0.93398308,0
Colombia,Female,1955,73,0.92753917,0
Colombia,Female,1955,74,0.9209103,0
Colombia,Female,1955,75,0.91404387,0
Colombia,Female,1955,76,0.90683408,0
Colombia,Female,1955,77,0.89910609,0
Colombia,Female,1955,78,0.89064253,0
Colombia,Female,1955,79,0.88132619,0
Colombia,Female,1955,80,0.87114275,0
Colombia,Female,1955,81,0.86015633,0
Colombia,Female,1955,82,0.84846549,0
Colombia,Female,1955,83,0.83615555,0
Colombia,Female,1955,84,0.82330808,0
Colombia,Female,1955,85,0.81006006,0
Colombia,Female,1955,86,0.79654117,0
Colombia,Female,1955,87,0.7828186,0
Colombia,Female,1955,88,0.76879572,0
Colombia,Female,1955,89,0.7543056,0
Colombia,Female,1955,90,0.73925799,0
Colombia,Female,1955,91,0.72351227,0
Colombia,Female,1955,92,0.70695237,0
Colombia,Female,1955,93,0.68949117,0
Colombia,Female,1955,94,0.67112765,0
Colombia,Female,1955,95,0.65535465,0
Colombia,Female,1955,96,0.63849191,0
Colombia,Female,1955,97,0.62178373,0
Colombia,Female,1955,98,0.60529196,0
