1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
112.316,114.138,116.726,119.279,121.158,122.349,124.237,126.2,128.576,131.599,136.02,140.663,145.657,151.184,157.214,163.479,169.901,176.108,181.894,186.761,202.957,209.572,216.866,225.474,234.276,243.066,252.156,261.322,271.307,281.026,290.246,299.787,308.626,316.898,324.437,330.457,334.573,336.885,337.974,337.645,336.877,336.341,335.235,335.302,337.02,340.454,345.734,352.773,358.867,361.675,368.187,375.916,383.104,390.112,392.269,390.745,390.55,394.731,398.811,403.402,410.069,417.088,423.327,429.88,436.101,436.172,429.722,426.307,435.839,445.61,444.39,440.951,437.542,436.441
108.896,110.79,112.608,115.146,117.575,119.484,120.669,122.545,124.589,126.755,130.08,134.556,139.224,144.178,149.661,155.655,161.956,168.24,174.48,180.182,184.998,201.124,207.4,214.82,223.448,232.173,240.897,249.733,259.403,269.326,279.06,288.615,298.009,307.08,315.772,323.159,328.784,332.628,334.915,336.091,335.743,335.054,333.647,333.027,332.832,334.834,338.016,343.439,350.543,356.891,359.363,365.665,373.416,380.749,387.832,390.238,388.579,388.659,392.72,396.618,401.472,408.317,415.158,421.269,427.701,433.889,434.392,430.474,432.989,443.652,451.648,447.442,443.339,439.82
105.122,107.314,109.201,110.974,113.382,115.838,117.736,118.914,120.875,122.699,125.188,128.575,133.078,137.706,142.615,148.063,154.097,160.252,166.57,172.721,178.361,183.135,198.868,205.276,212.716,221.255,229.902,238.35,247.715,257.318,267.255,277.336,286.732,296.362,305.879,314.39,321.382,326.714,330.541,332.923,334.092,333.841,332.25,331.364,330.491,330.629,332.387,335.729,341.225,348.585,354.563,356.84,363.161,371.044,378.433,385.733,387.968,386.626,386.603,390.491,394.67,399.722,406.407,413.132,419.128,425.526,432.124,435.23,437.537,441.251,450.047,454.84,449.922,445.75
101.18,103.532,105.713,107.552,109.197,111.634,114.075,115.961,117.226,118.963,121.117,123.671,127.092,131.554,136.137,141.012,146.501,152.386,158.578,164.805,170.885,176.474,180.873,196.708,203.137,210.48,218.93,227.284,236.273,245.571,255.189,265.48,275.394,285.029,295.117,304.438,312.55,319.24,324.559,328.488,330.875,332.157,330.99,329.949,328.822,328.312,328.211,330.131,333.555,339.322,346.3,352.066,354.375,360.829,368.738,376.332,383.422,385.97,384.528,384.348,388.53,392.922,397.835,404.418,411.033,416.999,423.805,433.04,442.506,446.037,447.853,453.324,457.346,452.404
97.227,99.616,101.954,104.084,105.795,107.474,109.895,112.319,114.284,115.326,117.393,119.615,122.206,125.589,130.007,134.556,139.475,144.816,150.738,156.838,162.99,169.012,174.214,178.748,194.571,200.897,208.145,216.292,225.19,234.113,243.427,253.403,263.526,273.679,283.772,293.662,302.573,310.385,317.058,322.481,326.424,328.935,329.298,328.7,327.434,326.683,325.927,325.982,327.991,331.699,337.091,343.86,349.632,352.09,358.551,366.654,374.024,381.395,383.826,382.228,382.366,386.77,391.042,395.868,402.35,408.939,415.319,424.776,440.382,451.058,452.679,451.146,455.825,459.831
93.462,95.712,98.084,100.37,102.37,104.114,105.782,108.186,110.68,112.421,113.792,115.925,118.184,120.741,124.084,128.469,133.063,137.835,143.214,149.046,155.069,161.159,166.792,172.122,176.679,192.361,198.587,205.532,214.217,223.053,231.994,241.663,251.476,261.837,272.435,282.342,291.807,300.427,308.21,314.987,320.426,324.494,326.099,327.036,326.225,325.333,324.325,323.709,323.862,326.163,329.508,334.708,341.472,347.373,349.836,356.495,364.365,371.999,379.23,381.488,380.219,380.592,384.895,389.093,393.835,400.301,407.3,416.3,432.052,448.84,457.609,455.905,453.591,458.273
89.694,92.005,94.239,96.559,98.715,100.746,102.478,104.134,106.606,108.877,110.934,112.371,114.542,116.769,119.288,122.604,127.031,131.482,136.293,141.585,147.339,153.3,159.006,164.762,170.11,174.559,190.107,196.036,203.51,212.136,220.991,230.279,239.791,249.842,260.63,271.055,280.526,289.712,298.29,306.172,312.962,318.524,321.707,323.881,324.609,324.159,323.002,322.116,321.602,322.051,324.001,327.174,332.373,339.258,345.133,347.813,354.239,362.377,369.871,376.916,379.477,378.437,378.745,382.99,387.125,391.867,398.723,408.255,423.397,440.302,455.213,460.716,458.231,455.954
86.104,88.301,90.595,92.78,94.974,97.157,99.174,100.893,102.617,104.874,107.447,109.566,111.042,113.181,115.374,117.869,121.228,125.518,130.007,134.734,139.953,145.645,151.235,157.057,162.827,168.066,172.416,187.647,194.089,201.511,210.155,219.344,228.483,238.227,248.684,259.311,269.3,278.504,287.64,296.31,304.198,311.103,315.81,319.544,321.515,322.579,321.861,320.813,320.03,319.804,319.92,321.712,324.892,330.216,337.062,343.135,345.603,352.314,360.315,367.634,374.941,377.7,376.621,376.901,381.1,385.247,390.357,399.627,415.086,431.343,446.435,458.18,462.892,460.458
82.725,84.774,86.956,89.201,91.266,93.486,95.654,97.657,99.441,100.962,103.508,106.137,108.29,109.739,111.846,114.015,116.555,119.786,124.111,128.52,133.179,138.339,143.678,149.379,155.213,160.876,166.018,170.101,185.791,192.185,199.626,208.588,217.633,226.994,237.121,247.428,257.635,267.365,276.52,285.738,294.406,302.4,308.487,313.717,317.251,319.532,320.333,319.715,318.768,318.26,317.716,317.69,319.493,322.801,328.091,335.124,340.976,343.74,350.325,358.156,365.717,373.19,375.906,374.813,375.067,379.286,383.782,391.194,406.136,422.663,437.186,449.251,460.211,464.959
79.517,81.458,83.492,85.629,87.759,89.849,92.054,94.208,96.269,97.861,99.658,102.258,104.918,107.043,108.463,110.548,112.761,115.181,118.449,122.698,127.042,131.648,136.474,141.919,147.633,153.364,158.935,163.822,168.379,183.988,190.4,198.144,206.967,216.218,225.94,235.922,245.839,255.796,265.48,274.709,283.92,292.683,299.9,306.475,311.507,315.323,317.359,318.255,317.733,317.042,316.233,315.554,315.546,317.473,320.761,326.234,333.05,339.165,341.818,348.248,356.304,364.018,371.428,374.12,373.008,373.294,377.849,384.539,397.344,413.305,428.183,439.834,451.144,462.126
76.235,78.31,80.236,82.228,84.259,86.412,88.488,90.679,92.884,94.762,96.614,98.465,101.094,103.726,105.82,107.224,109.35,111.451,113.908,117.106,121.296,125.592,129.885,134.812,140.27,145.886,151.535,156.865,162.196,166.711,182.298,188.998,196.612,205.624,215.213,224.792,234.42,244.095,254.014,263.763,272.981,282.279,290.309,297.975,304.354,309.644,313.236,315.371,316.351,316.064,315.091,314.152,313.492,313.603,315.523,318.99,324.263,331.319,337.315,339.84,346.482,354.68,362.322,369.692,372.352,371.275,371.889,378.523,390.309,404.082,418.487,430.648,441.578,452.913
72.922,75.083,77.143,79.032,80.925,82.977,85.118,87.18,89.417,91.45,93.57,95.473,97.354,99.956,102.558,104.635,106.08,108.101,110.237,112.632,115.777,119.921,123.925,128.315,133.257,138.622,144.161,149.585,155.332,160.617,165.146,180.969,187.547,195.339,204.665,214.111,223.371,232.767,242.413,252.388,262.122,271.422,280.031,288.469,295.941,302.556,307.647,311.341,313.551,314.744,314.192,313.092,312.171,311.621,311.742,313.834,317.12,322.624,329.562,335.433,338.167,344.947,353.065,360.664,367.986,370.664,369.898,372.48,383.9,396.6,408.916,420.762,432.233,443.2
70.702,71.822,73.967,75.992,77.789,79.703,81.744,83.871,85.978,88.052,90.31,92.477,94.409,96.267,98.843,101.426,103.539,104.889,106.943,109.022,111.368,114.474,118.344,122.439,126.843,131.697,136.992,142.321,148.135,153.836,159.129,163.916,179.589,186.339,194.421,203.608,212.762,221.801,231.171,240.868,250.829,260.637,269.291,278.268,286.518,294.208,300.644,305.836,309.598,312.005,312.947,312.271,311.185,310.366,309.837,310.123,312.052,315.544,320.939,327.755,333.817,336.699,343.395,351.463,359.008,366.326,369.296,370.396,377.463,389.739,401.079,410.998,422.182,433.708
69.298,69.639,70.753,72.865,74.804,76.621,78.525,80.554,82.723,84.678,86.964,89.264,91.457,93.369,95.205,97.763,100.378,102.401,103.783,105.784,107.818,110.129,112.98,116.934,121.04,125.36,130.148,135.246,140.941,146.712,152.419,157.949,162.638,178.44,185.454,193.41,202.32,211.264,220.275,229.694,239.381,249.409,258.608,267.595,276.391,284.844,292.37,298.902,304.156,308.104,310.276,311.091,310.426,309.436,308.645,308.273,308.415,310.516,313.904,319.183,326.19,332.39,335.195,341.837,349.846,357.378,364.969,369.7,374.98,382.854,393.864,402.96,412.243,423.512
68.007,68.263,68.606,69.697,71.729,73.686,75.493,77.386,79.456,81.485,83.638,85.963,88.287,90.461,92.352,94.174,96.763,99.291,101.342,102.677,104.634,106.633,108.708,111.637,115.6,119.623,123.879,128.483,133.923,139.58,145.356,151.283,156.724,161.579,177.583,184.486,192.175,200.89,209.796,218.853,228.267,238.018,247.472,256.969,265.787,274.771,283.068,290.679,297.271,302.705,306.431,308.478,309.295,308.72,307.764,307.123,306.623,306.904,308.903,312.183,317.662,324.805,330.916,333.672,340.261,348.246,356.046,365.288,373.89,379.922,386.631,395.545,404.017,413.426
66.402,66.999,67.257,67.586,68.611,70.659,72.606,74.403,76.337,78.276,80.489,82.68,85.027,87.333,89.486,91.365,93.219,95.726,98.278,100.283,101.577,103.498,105.274,107.423,110.36,114.239,118.197,122.282,127.206,132.616,138.281,144.262,150.11,155.709,160.781,176.655,183.292,190.806,199.473,208.423,217.481,226.954,236.164,245.885,255.222,264.218,273.05,281.417,289.088,295.855,301.08,304.682,306.724,307.623,307.084,306.272,305.52,305.123,305.307,307.203,310.694,316.314,323.365,329.415,332.131,338.693,346.939,356.296,369.107,378.396,383.354,388.115,396.407,405.051
65.345,65.421,66.016,66.265,66.541,67.587,69.625,71.561,73.399,75.212,77.323,79.571,81.783,84.112,86.399,88.539,90.446,92.228,94.757,97.264,99.226,100.486,102.197,104.038,106.194,109.051,112.863,116.661,121.046,125.95,131.371,137.227,143.138,149.136,154.927,159.928,175.496,181.979,189.442,198.15,207.103,216.215,225.177,234.632,244.203,253.705,262.55,271.438,279.863,287.702,294.273,299.375,302.965,305.085,306.015,305.615,304.707,304.025,303.535,303.62,305.736,309.373,314.907,321.892,327.895,330.591,337.413,347.125,359.775,373.207,381.495,384.635,388.782,397.295
63.181,64.382,64.462,65.048,65.251,65.554,66.597,68.624,70.597,72.324,74.298,76.44,78.708,80.904,83.216,85.49,87.655,89.495,91.299,93.786,96.249,98.173,99.238,101.008,102.853,104.935,107.727,111.388,115.465,119.838,124.757,130.356,136.147,142.198,148.371,154.099,158.854,174.235,180.67,188.174,196.885,205.885,214.514,223.701,233.019,242.744,252.093,260.982,269.925,278.509,286.163,292.612,297.699,301.358,303.507,304.567,304.085,303.216,302.443,301.855,302.168,304.432,307.989,313.46,320.396,326.37,329.333,337.54,350.287,363.505,376.003,382.577,385.096,389.528
60.044,62.244,63.44,63.518,64.06,64.289,64.596,65.637,67.699,69.568,71.444,73.449,75.609,77.862,80.042,82.343,84.639,86.74,88.601,90.367,92.812,95.235,96.974,98.094,99.867,101.643,103.664,106.319,110.238,114.309,118.699,123.783,129.32,135.233,141.449,147.567,153.058,157.695,172.986,179.46,186.969,195.719,204.262,213.103,222.164,231.625,241.2,250.581,259.519,268.604,277.015,284.549,290.98,296.126,299.814,302.083,303.07,302.602,301.648,300.778,300.418,300.879,303.067,306.564,311.99,318.897,325.127,329.4,340.41,353.677,366.03,376.903,382.831,385.697
56.766,59.142,61.326,62.511,62.554,63.12,63.355,63.666,64.747,66.712,68.719,70.624,72.646,74.793,77.03,79.199,81.52,83.756,85.875,87.701,89.43,91.838,94.088,95.873,96.998,98.709,100.429,102.326,105.223,109.137,113.224,117.767,122.788,128.425,134.501,140.665,146.563,151.948,156.561,171.837,178.313,185.859,194.181,202.922,211.646,220.839,230.157,239.758,249.176,258.236,267.157,275.451,282.967,289.447,294.621,298.419,300.624,301.591,301.04,299.989,299.344,299.132,299.515,301.643,305.098,310.501,317.663,325.129,331.998,343.488,355.954,366.774,376.973,383.288
54.139,55.898,58.255,60.421,61.566,61.636,62.206,62.444,62.801,63.799,65.892,67.925,69.845,71.855,73.988,76.215,78.403,80.669,82.919,85.003,86.795,88.494,90.742,93.033,94.819,95.895,97.555,99.163,101.283,104.179,108.105,112.332,116.809,121.907,127.71,133.733,139.703,145.506,150.874,155.523,170.745,177.257,184.409,192.917,201.547,210.393,219.452,228.793,238.419,247.933,256.838,265.646,273.924,281.477,287.986,293.26,297,299.156,300.042,299.391,298.56,298.061,297.764,298.09,300.174,303.614,309.28,317.611,327.465,334.784,345.535,356.55,366.69,377.302
51.109,53.297,55.044,57.38,59.5,60.661,60.741,61.312,61.597,61.883,63.005,65.121,67.167,69.076,71.074,73.198,75.441,77.577,79.855,82.073,84.124,85.89,87.446,89.732,92.023,93.764,94.799,96.358,98.171,100.29,103.198,107.25,111.407,115.94,121.209,126.954,132.808,138.695,144.49,149.883,154.53,169.734,175.89,183.222,191.624,200.362,209.083,218.162,227.517,237.215,246.581,255.378,264.172,272.48,280.061,286.658,291.879,295.553,297.63,298.416,297.975,297.282,296.695,296.343,296.626,298.704,302.407,309.177,319.711,329.969,336.616,345.996,356.323,366.909
48.828,50.298,52.467,54.201,56.492,58.616,59.777,59.864,60.478,60.699,61.106,62.256,64.383,66.417,68.315,70.304,72.443,74.638,76.785,79.031,81.218,83.245,84.88,86.477,88.763,91.013,92.717,93.662,95.407,97.217,99.35,102.376,106.356,110.553,115.258,120.464,126.06,131.843,137.728,143.541,148.925,153.612,168.444,174.77,182.006,190.502,199.121,207.858,216.941,226.352,235.907,245.168,253.955,262.771,271.106,278.768,285.313,290.444,294.037,296.012,296.996,296.69,295.906,295.262,294.864,295.149,297.495,302.249,311.053,321.957,331.586,336.944,345.64,356.441
47.232,48.036,49.497,51.648,53.345,55.636,57.75,58.908,59.042,59.596,59.931,60.369,61.535,63.65,65.674,67.564,69.565,71.66,73.863,75.979,78.198,80.361,82.268,83.94,85.54,87.792,90.005,91.625,92.742,94.483,96.305,98.548,101.509,105.521,109.885,114.521,119.59,125.126,130.909,136.809,142.613,148.034,152.442,167.379,173.617,180.936,189.318,197.945,206.68,215.808,225.083,234.54,243.788,252.594,261.435,269.842,277.452,283.891,288.936,292.428,294.591,295.704,295.306,294.464,293.774,293.382,293.934,297.277,303.908,313.056,323.377,331.776,336.46,345.666
45.722,46.452,47.254,48.706,50.816,52.518,54.796,56.895,58.091,58.175,58.833,59.199,59.658,60.818,62.921,64.936,66.837,68.798,70.9,73.073,75.164,77.359,79.411,81.348,83.023,84.595,86.814,88.946,90.719,91.836,93.588,95.513,97.7,100.699,104.864,109.154,113.654,118.677,124.21,130.007,135.903,141.744,146.915,151.472,166.273,172.584,179.797,188.179,196.798,205.573,214.573,223.755,233.197,242.461,251.287,260.196,268.548,276.039,282.388,287.333,291.003,293.29,294.312,293.857,292.97,292.287,292.156,293.65,298.718,305.673,314.289,323.442,331.153,336.396
