1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
112.152,114.193,116.907,119.553,121.521,122.835,124.787,126.805,129.135,132.064,136.317,140.831,145.702,151.067,156.888,162.957,169.196,175.209,180.823,185.577,198.416,205.551,212.632,220.987,229.541,238.036,246.837,255.584,265.076,274.471,283.457,292.696,301.256,309.256,316.469,322.186,326.092,328.219,329.457,329.453,328.922,328.734,328.054,328.666,330.559,334.055,339.208,346.128,352.087,354.944,361.349,369.131,375.962,382.605,384.241,382.34,381.468,385.394,389.3,393.721,400.017,406.71,413.158,419.986,426.049,425.901,419.267,415.494,425.023,434.766,433.654,429.857,426.031,424.349
108.773,110.916,112.959,115.625,118.14,120.14,121.443,123.379,125.373,127.472,130.671,134.973,139.518,144.345,149.661,155.454,161.564,167.653,173.708,179.242,183.945,196.738,203.508,210.733,219.132,227.59,236.013,244.552,253.909,263.413,272.886,282.252,291.365,300.19,308.649,315.794,321.219,324.929,327.169,328.637,328.71,328.448,327.445,327.421,327.744,329.922,333.095,338.345,345.354,351.608,354.157,360.447,368.209,375.132,381.628,383.413,381.225,380.693,384.5,388.23,392.859,399.327,405.879,412.213,418.927,424.949,425.132,421.046,423.627,434.4,442.223,437.806,433.433,429.351
105.025,107.507,109.651,111.645,114.173,116.718,118.703,119.991,121.901,123.656,126.039,129.291,133.624,138.124,142.9,148.188,154.023,159.977,166.11,172.079,177.56,182.228,194.628,201.546,208.816,217.113,225.498,233.65,242.826,252.195,261.779,271.648,280.883,290.273,299.574,307.956,314.813,320.018,323.846,326.326,327.873,328.227,327.112,326.794,326.472,327.094,328.939,332.218,337.567,344.883,350.813,353.247,359.519,367.374,374.138,380.782,382.263,380.424,379.772,383.391,387.339,392.147,398.466,404.899,411.117,417.788,424.155,426.992,429.532,433.414,442.185,446.553,441.529,436.899
101.097,103.752,106.232,108.324,110.18,112.736,115.264,117.231,118.495,120.162,122.206,124.645,127.931,132.217,136.666,141.414,146.746,152.422,158.42,164.465,170.379,175.822,180.103,192.641,199.602,206.768,214.992,223.102,231.905,241.091,250.543,260.53,270.265,279.782,289.658,298.876,306.972,313.596,318.92,322.991,325.552,327.384,326.871,326.453,325.833,325.816,326.102,328.057,331.441,337.104,344.09,349.901,352.321,358.688,366.377,373.291,379.619,381.428,379.459,378.612,382.461,386.597,391.245,397.439,403.75,409.925,416.964,426.052,435.629,439.493,441.341,446.59,450.33,445.054
97.156,99.833,102.485,104.91,106.863,108.75,111.288,113.795,115.736,116.76,118.715,120.815,123.29,126.532,130.768,135.19,139.982,145.156,150.875,156.785,162.773,168.648,173.702,178.132,190.698,197.554,204.65,212.602,221.363,230.175,239.446,249.299,259.152,269.169,279.175,288.966,297.898,305.757,312.499,318.063,322.216,325.06,326.027,326.209,325.491,325.176,324.822,325.221,327.283,330.981,336.318,343.187,348.984,351.5,357.699,365.537,372.133,378.747,380.412,378.241,377.642,381.686,385.65,390.165,396.233,402.502,409.066,418.856,434.666,445.56,447.394,445.728,450.348,453.838
93.416,95.915,98.587,101.184,103.47,105.454,107.324,109.842,112.323,114.025,115.335,117.345,119.481,121.915,125.109,129.318,133.784,138.421,143.639,149.271,155.125,161.073,166.562,171.758,176.229,188.679,195.47,202.299,210.89,219.658,228.556,238.222,247.944,258.072,268.575,278.497,288.001,296.702,304.672,311.647,317.291,321.722,323.719,325.369,325.255,324.835,324.186,323.946,324.451,326.822,330.201,335.43,342.286,348.172,350.524,356.873,364.395,371.232,377.691,379.146,377.237,376.839,380.701,384.524,388.913,394.939,401.615,410.918,427.305,444.404,453.301,451.681,449.401,453.779
89.663,92.205,94.7,97.318,99.78,102.093,104.061,105.914,108.406,110.654,112.632,113.997,116.042,118.138,120.528,123.699,127.95,132.266,136.946,142.08,147.657,153.472,159.044,164.668,169.9,174.272,186.649,193.181,200.634,209.23,218.082,227.364,236.902,246.889,257.495,267.913,277.551,286.834,295.641,303.834,310.886,316.8,320.41,323.069,324.428,324.602,323.854,323.32,323.18,323.986,326.049,329.329,334.548,341.488,347.212,349.717,355.756,363.49,370.168,376.417,378.136,376.422,375.843,379.562,383.263,387.612,394.047,403.398,419.089,436.725,451.886,457.428,455.211,452.707
86.086,88.489,91.028,93.472,95.96,98.446,100.742,102.694,104.525,106.794,109.303,111.332,112.732,114.74,116.796,119.164,122.378,126.485,130.843,135.443,140.526,146.065,151.519,157.219,162.874,168.011,172.33,184.447,191.577,199.034,207.713,216.932,226.09,235.88,246.329,256.852,266.994,276.423,285.806,294.824,303.09,310.399,315.528,319.771,322.148,323.781,323.638,323.002,322.561,322.711,323.222,325.195,328.468,333.769,340.552,346.422,348.632,354.863,362.439,368.916,375.42,377.323,375.433,374.714,378.317,381.981,386.731,395.74,411.209,428.098,443.876,455.815,460.774,458.351
82.722,84.954,87.354,89.843,92.165,94.676,97.145,99.424,101.354,102.977,105.494,108.051,110.111,111.478,113.447,115.483,117.895,120.974,125.121,129.403,133.955,139.004,144.201,149.776,155.506,161.069,166.156,170.243,182.916,190.049,197.587,206.612,215.712,225.107,235.337,245.704,255.965,265.91,275.437,285.016,294.101,302.611,309.175,314.903,318.875,321.511,322.839,322.803,322.254,322.089,321.958,322.388,324.356,327.708,332.863,339.785,345.373,347.754,353.831,361.209,367.935,374.612,376.34,374.314,373.485,377.053,381.108,388.321,403.137,419.741,434.867,447.583,458.953,463.723
79.526,81.634,83.863,86.217,88.59,90.934,93.43,95.88,98.139,99.872,101.732,104.294,106.878,108.905,110.237,112.189,114.266,116.554,119.672,123.747,127.986,132.507,137.237,142.548,148.152,153.796,159.312,164.179,168.802,181.468,188.677,196.541,205.452,214.773,224.581,234.73,244.853,254.931,264.97,274.68,284.321,293.634,301.441,308.567,314.036,318.251,320.599,322.027,322.071,321.782,321.352,321.144,321.571,323.615,326.835,332.122,338.781,344.503,346.735,352.615,360.237,367.133,373.635,375.225,373.088,372.228,376.181,382.584,395.268,411.155,426.097,438.339,450.502,461.701
